Name,Yearinservice,Origin,Numberbuilt,Notes
T-80,1976,Soviet Union,"5,400+","World's first tank solely equipped with a turbine engine (the Swedish strv 103 that entered service in 1960s used a turbine engine alongside a diesel). The earliest models are considered as intermediate second generation, while models from T-80U (1986) onwards are third generation."
Leopard 2,1979,West Germany,"3,600",Development of the Leopard 2 Main Battle Tank (MBT) began in 1970. It was just a couple of years after a previous Leopard 1 entered service. Is armed with a fully-stabilized Rheinmetall RH-M-120 120¬†mm smoothbore gun.
MBT-80,1980,United Kingdom,17 prototypes,"The FV4601 MBT-80 was a British experimental third-generation main battle tank, designed in the late 1970s to replace the Chieftain tank. It was eventually cancelled in favour of the Challenger 1, itself an evolution of the Chieftain design."
M1 Abrams,1980,United States,"10,400","Production began (at Chrysler) in 1979 and continued to 1985 (at General Dynamics) (3,273 built for the US)."
FV4030/4 Challenger 1,1983,United Kingdom,420,"Replaced FV 4201 Chieftain. The Challenger 1 is armed with a fully-stabilized British L11A5 120 mm rifled gun. It is a significantly improved version of the Chieftain's gun. It is extremely accurate, however this MBT was fitted with slow fire control system. The Challenger 1 MBT is powered by a Rolls-Royce Condor CV12-1200TCA turbocharged diesel engine, developing 1200¬†hp."
AMX-40,1983,France,Few prototypes,"The AMX-40 was a French main battle tank developed by GIAT during the latter stages of the Cold War as an export tank to replace the earlier AMX-32. Designed to be an inexpensive tank orientated towards militaries with smaller defence budgets, the AMX-40 featured a lightly armoured hull and good mobility reminiscent of previous French MBTs with a powerful 120 mm cannon. It however failed to attract interest and sales, rendering the project a failure, being discontinued in 1990."
M-84,1984,Yugoslavia,650,"The M-84 main battle tank is essentially the Soviet T-72, produced under license. However it has a number of Yugoslavian sub-systems. Production of the M-84 MBT began in 1983 and first vehicles entered service in 1984. By 1992 over 600 of these MBTs have been built. Currently it is operational with some countries of the former Yugoslavia and Kuwait."
EE-T1/EE-T2 Os√≥rio,1985,Brazil,2 prototypes,"The Engesa EE-T1 Os√≥rio was a Brazilian main battle tank prototype developed by Engesa. The tank was intended to be sold first to Arab and other Third World countries, jump-starting production and enabling the Brazilian Army to later place its own orders without having to fund development costs. Development of the tank was initially privately funded by Engesa, but cashflow issues eventually led to the Brazilian government extending a loan to assist the program. Two prototypes of the tank were built, but the EE-T1 was never adopted for service."
M1A1 Abrams,1986,United States,"6,109","Improved M1 Abrams. Production started in 1985 and continued to 1992, pressurized NBC system, rear bustle rack for improved stowage of supplies and crew belongings, redesigned blow-off panels and M256 120 mm smoothbore cannon (4,976 built for the U.S. Army, 221 for USMC, 59 M1A1 AIM SA sold to Australia)."
Panzer 87,1987,Switzerland,380,"License manufactured in Switzerland of the Leopard2A4. This version included Swiss-built 7.5¬†mm MG 87 machine guns, communications equipment, and featured improved NBC protection system. Switzerland operated 380 Panzer 87 tanks."
TR-125,1987,Socialist Republic of Romania,5-10 prototypes,Prototype main battle tank is a redesigned T-72 made in Romania with Romanian components only. It is now designated P-125 (P stands for Prototype).
T-80UD Bereza,1987,Soviet Union,500-800,"Ukrainian diesel version with 1,000 hp 6TD engine and remote-controlled antiaircraft machine gun."
K1 88-Tank,1988,South Korea,"1,027","First Main Battle Tank in use with the Republic of Korea Armed Forces, developed by Hyundai Precision (later Hyundai Rotem)."
Lion of Babylon,1989,Iraq,500-750,Licensed copy of the T-72.
Merkava Mark III,1989,Israel,780,"As of 2022, the Merkava III was retired from active service but is still the most numerous tank in the IDF's arsenal. Compared to the Merkava Mark II, it has upgrades to the drivetrain, powertrain, armament, and electronic systems. The most prominent addition was the incorporation of the locally developed IMI 120 mm gun."
Type 90,1990,Japan,341,"Development of the new Japanese Main Battle Tank (MBT) commenced in 1976. It was intended to replace the Type 61 medium tanks in service with Japanese Ground Self-Defense Forces (JGSDF). The new tank was developed by Mitsubishi Heavy Industries in cooperation with German Krauss-Maffei and MaK tank manufacturers. This MBT is armed with German Rheinmetall RH-M-120 120¬†mm smoothbore gun, which was produced in Japan under license by Japan Steel Works. It fires HEAT-MP and APFSDS-T rounds, but is also compatible with all standard NATO 120¬†mm tank ammunition."
M-91 Vihor,1991,Yugoslavia,2 prototypes,"The M-91 Vihor is a Yugoslav main battle tank prototype, based on the M-84, which is turn a Yugoslav-made licensed copy of the Russian T-72. Due to the Disintegration of Yugoslavia, it never entered production, and only a few prototypes were made, mainly for testing. Its development later led to the M-95 Degman."
Pokpung-ho II,1992,North Korea,200-500,"A further development of Ch'onma-Ho. The tank may incorporate technology found in the T-62, T-72, and Ch'onma-ho MBTs. The P'okp'ung-ho is only known to be used in North Korea."
M1A2 Abrams,1992,United States,2855,"Improved M1A1 Abrams. Production began in 1986 and entered service in 1992 (77 built for the U.S. and more than 600 M1s upgraded to M1A2, 315 for Saudi Arabia, 1,005 for Egypt, 218 for Kuwait). The M1A2 offers the tank commander an independent thermal sight and ability to, in rapid sequence, shoot at two targets without the need to acquire each one sequentially, also 2nd generation depleted uranium armor components."
Leclerc,1992,France,862,"Replaced AMX 30. The Leclerc main battle tank was developed by GIAT Industries. Its development began in 1978 and first prototypes were built in 1989. Production of the Leclerc MBT started in 1991. It is named in honor to general Philippe Jacques Leclerc, commander of French armored division during World War II. It is in service with France (406) and United Arab Emirates (388)."
Tank Technology Demonstrator (TTD),1992,South Africa,1 prototype,The TTD or Tank Technology Demonstrator prototype main battle tank was completed in the early 1990s. It used some German Leopard 2 technology and was intended to replace ageing South African MBTs. Only a prototype has been built and the TTD never went into service because of limited funding. Some of the TTD subsystems were applied to the Olifant Mk 2. These upgraded MBTs are expected to serve well into the 21st century.
T-90,1992,Russia,"750‚Äì1,000","Deep modernization of the T-72B; originally introduced into service in October 1992 as T-72BU, but simultaneously renamed as the T-90."
PT-91 Twardy,1995,Poland,285,"A development of the T-72M1. The PT-91 Twardy (tough) is an improved variant of the Soviet T-72 main battle tank. The PT-91 was developed in Poland in the early 1990s. Production of the PT-91 Twardy tanks for the Polish Army was completed in 2002. A total of 233 tanks were delivered. Currently Polish Army also operates 120 older T-72M1 tanks (with additional 470 tanks mothballed, actual number of machines in working condition is unknown)."
Ariete,1995,Italy,200,"The Ariete (ram) main battle tank (also referred as the C-1) was developed by Iveco and OTO Melara. It is named in honor to Italian Ariete armored division, which fought during World War II. This main battle tank was intended to replace ageing fleet of M60A1 in service with Italian Army. First prototype of the C1 Ariete was revealed in 1986 and six pre-production vehicles were built in 1989. It entered service with Italian army in 1995. Italy operates 200 MBTs of this type."
M-95 Degman,1995,Croatia,"2 (prototypes)
Specifications","The M-95 Degman is a Croatian main battle tank prototype, developed by the ƒêuro ƒêakoviƒá company and is largely based on the M-91 Vihor tank that which is turn based in the M-84 tank. The Degman M-95 has not entered serial production."
Stridsvagn 122,1997,Sweden,120,"Swedish main battle tank based on the German Leopard 2 Improved variant utilizing newer technology such as command-, control-, and fire-control systems, as well as reinforced armour and long-term combat capacity."
Zulfiqar II,1997,Iran,Few prototypes,"Further development of the Zulfiqar I. It is an interim MBT, which served as a test bed for the Zulfiqar III. It had an extended hull and was fitted with new engine. It also has a new turret with sloping front and bustle at the rear. This may indicate removal of the autoloader, or possibly, a new autoloader. Prototype, never entered service."
Challenger 2,1998,United Kingdom,447,Further development of the Challenger 1. The new main battle tank is significantly more capable than its predecessor. It entered service with the British Army in 1994. Currently the Challenger 2 is in service with United Kingdom (386) and Oman (38). Armed with the British 120¬†mm L30 rifled gun.
M1A2 Abrams SEP,1999,United States,"3,273","System Enhancement Package (SEP) has upgraded third-generation depleted uranium armor components with graphite coating (240 new built, 300 M1A2s upgraded to M1A2 SEP for the US, also unknown numbers of upgraded basic M1s and M1IPs, also 400 oldest M1A1s upgraded to M1A2 SEP)."
T-84,1999,Ukraine,55,"The T-84 is a Ukrainian main battle tank. It is a further development of the T-80UD. Development of the T-80UD began in the late 1980s. Models of the T-84 include the T-84U MBT with new armored side skirts, built-in Kontakt-5 explosive reactive armor, muzzle reference system and some other improvements."
Black Eagle (tank),1999,Russia,Few prototypes,"The Black Eagle tank (Russian: –ß—ë—Ä–Ω—ã–π –û—Ä—ë–ª, Chyornyy Oryol or Object 640), was a presumed prototype main battle tank produced in the Russian Federation. It was thought to have been developed by the KBTM design bureau in Omsk in the late 1990s. A production version of this tank has never been publicly demonstrated. The Black Eagle has been cancelled, with all production and development halted. It is a T-80 variant which has helped development of the T-14 Armata."
T-95,2000,Russia,‚Äî,"T-95, or Object 195, is the common informal designation of a Russian main battle tank that was under development at Uralvagonzavod from 1988 until its cancelation in 2010. Little about the tank is publicly known. The work from the Object 195 was used in the Object 148, later type classified as the T-14 Armata, which began production in 2016."
T-84 Oplot,2000,Ukraine,10,"T-84U with a new welded turret with separate crew and ammunition compartments with blowout panels on the ammunition compartment, a new bustle-mounted autoloader."
Zulfiqar III,2000,Iran,750,"The most advanced variant of the Zulfiqar family which was selected for production, bears an uncanny resemblance to the American M1 Abrams. It features considerable upgrades to the fire-control system, chassis, engine and main gun. The new variant is equipped with the 2A46 125¬†mm smoothbore cannon with an autoloader, a laser rangefinder and a new fire-control system. It is also fitted with a reinforced turret and the wheels are covered by an armoured skirt."
M60-2000,2001,"United States 
 ¬†Turkey",1 ( 120S prototype only),The M60-2000 or 120S was initially aimed at the Turkish Land Forces Command (TLFC) M60 upgrade requirement but this competition was subsequently won by Israel Military Industries with their Sabra II upgrade. The Egyptian Army was considering this offer until it was finally rejected in favor of a licensed contract to build M1s in Egypt. Only one prototype was made.
K1A1,2001,South Korea,484,"The K1A1 main battle tank is an improved version of the K1 88-Tank. It was developed in South Korea by Hyundai Rotem. It is broadly similar to the US M1A1 Abrams in terms of firepower and protection. First production vehicle was completed in 1996, however it entered service with the ROK Army only in 2001. Production ceased in 2010. A total of 484 of these tanks were reportedly built."
Type 99,2001,China,"1,200","The Type 99 main battle tank is a further development of the Type 98 MBT. It is generally similar to the Type 98, but has a number of improvements. The Type 99 was revealed in 2000 and entered service with the Chinese Army in 2001. This main battle tank shows a mixture of Russian and Western influence in its design and technology. As of 2017 improved version of this tank is produced in China. Currently it is the most advanced Chinese main battle tank."
Al Khalid,2002,"China 
 ¬†Pakistan",994,"The Al Khalid main battle tank was jointly developed by China and Pakistan. It is a further development of the Chinese Type 90-II tank, which was not accepted to service with the Chinese Army. In the late 1990s it was marketed for export as the MBT-2000. Pakistan acquired production license of this MBT. The Al Khalid is named after the legendary general Khalid ibn al-Walid. First deliveries of this tank were made in 2002. The Al Khalid is currently in service with Pakistan."
Tank EX,2002,India,8 prototypes,"Experimental hybrid prototype with turret of Arjun and hull of T-72. It underwent six months of trials, but was subsequently rejected by the Indian Army."
Pokpung-ho III,2002,North Korea,200-500,"Outside parties codename the tank M-2002 because the tank went through performance trials on February 16, 2002 (therefore being officially confirmed by outside sources), although the tank may have been in existence since 1992."
T-72M4CZ,2003,Czechoslovakia,30,Upgraded Czech version of the T-72 tank. The T-72 main battle tank was licensed-produced in the former Czechoslovakia. It entered service with the Czechoslovakian Army in 1981. After the dissolution of the Czechoslovakia in the early 1990s upgrade programs were developed both in Czech Republic and Slovakia to keep their fleets of T-72 MBTs operational and combat capable.
Leopard 2E,2003,"Germany 
 ¬†Spain",219,"A derivative of the Leopard 2A6, with greater armour protection, developed under a programme of co-production between the defence industries of Spain and Germany."
M60 Phoenix,2004,Jordan,182,"The M60 Phoenix is a Jordanian upgrade of the M60A3 main battle tank. It was developed by the King Abdullah Design and Development Bureau (KADDB). A total of 182 Jordanian M60A3 tanks were reportedly upgraded to the Phoenix standard. A 105¬†mm rifled gun was replaced by a Swiss RUAG CTG fully-stabilized 120¬†mm/L50 smoothbore gun. It is compatible with all standard NATO 120¬†mm tank ammunition. The Jordanian M60 Phoenix is notable for packing heavier punch than other upgunned M60s, that have 120¬†mm/L44 guns."
Arjun,2004,India,141,"The first prototype of the Arjun main battle tank was built in 1989, 15 pre-production prototypes were built by 1996. Production variant designated as Arjun MK1 entered service with the Indian Army in 2004. MK1A variant of Arjun was developed and entered service with the Indian Army in 2021."
Merkava Mk.4,2004,Israel,360,"The Merkava Mk IV Main Battle Tank (MBT) entered service with Israel Defense Forces in 2004. It is a further development of the Merkava Mark III. Now they equip the 460th training brigade and the 4th reserve brigade. For a long time these tanks were not available for export, though some of the tank's systems and components were offered for the export customers. However, in 2014 it was reported, that Israel will export a number of these tanks to an undisclosed customer, possibly Colombia."
M-84AS,2004,Serbia,1,Upgraded Yugoslav version of the M-84 tank. M-84AS is sometimes referred to as M-84AB1 and M-2001.
C2 Ariete,2005,Italy,200,"The C2 Ariete was revealed in 2005. It has a modular armor, 120¬†mm smoothbore gun fitted with an autoloader, hydropneumatic suspension, 1500¬†hp engine and more advanced fire control system."
Type 96A/B,2006,China,2500,"Type 96G (also referred as Type 96A). It is an upgraded version of the Type 96, fitted with explosive reactive armor and thermal imaging system for all-weather, day/night operation. It was revealed in 2006. It is believed that upgraded vehicles approach the Type 99 in terms of protection, firepower and mobility. Weight of upgraded MBT increased to 42.8 t. All Type 96 tanks might be upgraded to this standard. This tank is also proposed for export customers as the VT2B. In 2016 a new version of the Type 96G emerged, which is most likely to be fitted with a new engine."
Mobarez,2006,Iran,50,A domestically upgraded version of the British Chieftain tank by Iran.
Sabra Mk I,2007,"United States 
 ¬†Israel",630,An extensively upgraded M60 Patton tank developed by Israel Military Industries.
Al-Khalid I,2009,"China 
 ¬†Pakistan",150,"Upgraded variant with Ammunition capacity increased to 49 125¬†mm rounds, 1,500 12.7¬†mm rounds and 7,100 7.62¬†mm rounds. Incorporates modifications made to the fire-control system which is now a more advanced multi process fire control computer with up to 7¬†km effective identification range."
Sabra Mk II/M60T,2009,"Israel
¬†Turkey",450,The Sabra Mk II is known as the M60T in Turkish service.
Leopard 2A4M CAN,2010,"Germany 
 ¬†Canada",20,"The Leopard 2A4M CAN is the upgraded Canadian version of the Leopard 2A4 acquired from the Royal Netherlands Army surplus. The Leopard 2A4M CAN is specially designed for the War in Afghanistan, based on experience gained by Leopard 2 operators."
T-72B3,2013,Russia,"2,000","Upgraded Russian version of the T-72. T-72B3 UBKh (obr.2016) is the most advanced variant. Another variant, T-72B3M, included a CITV but never entered service."
PT-16,2016,Poland,233,"A further development of PT-91 Twardy. Claimed proposed upgrades include improved armor, armament, and mobility. Only non functional mock-up ever built. Prototype never built."
M-84AS1,2017,Serbia,10,"The M-84AS1 and M-84AS2 are substantially modernized versions of the M-84 main battle tank designed by the Military Technical Institute and produced by Technical Overhauling Institute ""ƒåaƒçak"" in Serbia. The first version designated as M-84AS1 was presented in 2017. Later revisions feature numerous improvements and were presented in 2020 and 2021."
M-84D,2018,Croatia,16,"Upgraded version of the M-84 with improvements to its armor, armament, mobility and electronics. 75 to be upgraded, possibly replacing the 125mm 2A46 gun with a NATO 120mm gun."
M60A3 SLEP,2019,Taiwan,‚Äî,"Taiwanese 2019 SLEP modular update of the M60A3 in conjunction with Elbit Systems. Upgrades includes MG251/L44 120 mm gun with a semi-automatic load assist, Elbit Knight Independent Fire Control System (IFCS) with an independent thermal commander's sight, laser range finder, an RWR/IR warning system and Curtis-Wright electric turret drive. Improved hull suspension, improved NBC protection system and modular active and reactive armor packages."
K9 Thunder,1999,South Korea,,"The K9 Thunder is a South Korean 155 mm self-propelled howitzer designed and developed by the Agency for Defense Development and civil contractors including Dongmyeong Heavy Industries, Kia Heavy Industry, Poongsan Corporation, and Samsung Aerospace Industries for the Republic of Korea Armed Forces, and is now manufactured by Hanwha Defense. K9 howitzers operate in groups with the K10 automatic ammunition resupply vehicle variant. The entire K9 fleet operated by the ROK Armed Forces is now undergoing upgrades to K9A1, and a further upgrade variant K9A2 is being tested for production. As of 2022, the K9 series has had a 52% share of the global self-propelled howitzer market, including wheeled vehicles, since the year 2000."
Armata,2019,Russia,,"The Armata, is a next-generation Russian main battle tank based on the Armata Universal Combat Platform. The Russian Army initially planned to acquire 2,300 T-14s between 2015 and 2020. By 2018, production and fiscal shortfalls delayed this to 2025, before Russia announced the apparent cancellation of the main production run on 30 July 2018. However, as of 2021, Russian state-owned TASS media agency claimed the Armata had been expected to begin serial production in 2022, with delivery of a test batch of 100 to the 2nd Guards Tamanskaya Motor Rifle Division expected to begin in 2022. The tanks are planned to only be officially transferred following completion of all state tests. In December 2021 the Russian state conglomerate Rostec stated that serial production had commenced, with ""more than 40"" Armata tanks anticipated to be delivered to Russian troops after 2023. In November 2022 Moscow Times and Newsweek reported that the state program under which the T-14 Armata is being developed has been halted."
M109,1963,United States,,"The M109 is an American 155 mm turreted self-propelled howitzer, first introduced in the early 1960s to replace the M44. It has been upgraded a number of times, most recently to the M109A7. The M109 family is the most common Western indirect-fire support weapon of maneuver brigades of armored and mechanized infantry divisions."
T-55,1958,Soviet Union,"96,500ñ100,000+ est.","The T-54 and T-55 tanks are a series of Soviet main battle tanks introduced in the years following the Second World War. The first T-54 prototype was completed at Nizhny Tagil by the end of 1945. From the late 1950s, the T-54 eventually became the main tank for armoured units of the Soviet Army, armies of the Warsaw Pact countries, and many others. T-54s and T-55s have been involved in many of the world's armed conflicts since their introduction in the second half of the 20th century."
T-72,1973,Soviet Union,25000 or more,"The T-72 is a family of Soviet-Russian main battle tanks that entered production in 1969. The T-72 was a development of the T-64, which was troubled by high costs and its reliance on immature developmental technology. About 25,000 T-72 tanks have been built, and refurbishment has enabled many to remain in service for decades. It has been widely exported and has seen service in 40 countries and in numerous conflicts. The T-90 introduced in 1992 is a development of the T-72B; production and development of various modernized T-72 models continues today."
Type 74,1975,Japan,873,"The Type 74  is a main battle tank (MBT) of the Japan Ground Self-Defense Force (JGSDF). It was built by Mitsubishi Heavy Industries as a supplement to the earlier Type 61. It was based on the best features of a number of contemporary designs, placing it in the same class as the US M60 Patton or German Leopard 1. Like these designs, it mounts the M68 rifled 105 mm gun. The design did not enter widespread use until 1980, by which point other Western forces had introduced more capable designs."
VT-4,2017,China,,"The VT-4, also known as the MBT-3000, is a Chinese third generation main battle tank built by Norinco for overseas export."
